Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
CZCGWZPRRHCUID-GSBWGOPVNA-N,44573832,9971,A,6.14267,pubchem,352765,9606,NR1H4,6137,ClC=1C=C(OCC2=C(ON=C2COC3=C(F)C=CC=C3F)C(C)C)C=CC1/C=C/C=4C=C(C=CC4)C(=O)O
CZCHIEJNWPNBDE-UHFFFAOYNA-N,6237,9971,N,,pubchem,743220,9606,NR1H4,6137,IC1=CC(C(=O)C=2C=3C(OC2CC)=CC=CC3)=CC(I)=C1O
CZEFSBFSQCLEDN-PKRZOPRNNA-N,1319563,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,S(=O)(=O)(N(C1=C(C=C(C=C1)C)C)CC(=O)NC2=C(C=3C=CC=CC3)C=CC=C2)C4=CC=CC=C4
CZGIRAWWWHPJHM-YAQRNVERNA-N,8573,9971,N,,pubchem,743220,9606,NR1H4,6137,O(C(CC)(C)C#C)C(=O)C=1C(=CC=CC1)C(O)=O
CZIHNRWJTSTCEX-WYUMXYHSNA-N,5897,9971,N,,pubchem,743220,9606,NR1H4,6137,O=C(NC1=CC=2CC=3C(C2C=C1)=CC=CC3)C
CZINSDVPNPAXDU-PKRZOPRNNA-N,CHEMBL1367639,9971,A,7.39,chembl20,1348166,9606,NR1H4,6137,S(=O)(=O)(N1CCOCC1)C2=C(C=CC(NC(=O)C=3C(=NN(C3)C4=CC=CC=C4)C=5C=CC(=CC5)C)=C2)C
CZKMMBCYVCTMDO-MPIMZMORNA-N,7501513,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,S(C=1N(C(O)=C2N=C3C(=C2N1)C=CC=C3)CC)CC(=O)NCCC4=CC=CC=C4
CZKPOZZJODAYPZ-CWXWOLIANA-N,448812,9971,N,,pubchem,743220,9606,NR1H4,6137,S1SCCC(=O)N[C@@H](CCCCNC(=N)N)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@@H](C1)C(=O)N)CC=3C=4C(NC3)=CC=CC4)CC(O)=O
CZKYTNHOHJZWIE-WYUMXYHSNA-N,847922,7376,N,,pubchem_screening,743027,9606,NR1H2,4643,OC1=C(C(=O)NC=2N=C(N=C(C2)C)C)C=CC=C1
CZMIFRMYXGUDOW-UHFFFAOYNA-N,16195502,7376,N,,pubchem_screening,743051,9606,NR1H2,4643,ClC=1C(=NN=CC=2C=C(N(=O)=O)C=CC2O)CC=CC1
